model,rep_type,layer,alpha,l1_ratio,rho_mean,rho_std,n_nonzero_mean,n_nonzero_std,n_train,n_test,n_groups,n_folds
Qwen3-4B,last,14,0.01,1.0,0.5757,0.0568,81.0,3.9,3840.0,960.0,600,5
Qwen3-4B,last,21,0.01,1.0,0.5723,0.0684,80.2,2.48,3840.0,960.0,600,5
Qwen3-4B,last,20,0.01,1.0,0.5673,0.0683,82.6,5.54,3840.0,960.0,600,5
Qwen3-4B,last,18,0.01,1.0,0.5647,0.0736,85.6,4.08,3840.0,960.0,600,5
Qwen3-4B,last,31,0.01,1.0,0.5638,0.0514,90.0,7.07,3840.0,960.0,600,5
Qwen3-4B,last,26,0.01,1.0,0.5602,0.0688,78.2,3.97,3840.0,960.0,600,5
Qwen3-4B,last,27,0.01,1.0,0.5572,0.0613,81.8,2.99,3840.0,960.0,600,5
Qwen3-4B,last,23,0.01,1.0,0.5562,0.0694,79.6,3.38,3840.0,960.0,600,5
Qwen3-4B,last,28,0.01,1.0,0.5556,0.0566,80.4,5.0,3840.0,960.0,600,5
Qwen3-4B,last,13,0.01,1.0,0.5544,0.0715,93.4,6.59,3840.0,960.0,600,5
Qwen3-4B,last,15,0.01,1.0,0.5544,0.0703,86.8,7.88,3840.0,960.0,600,5
Qwen3-4B,last,22,0.01,1.0,0.5541,0.0546,78.6,8.48,3840.0,960.0,600,5
Qwen3-4B,last,17,0.01,1.0,0.5537,0.0805,86.6,8.04,3840.0,960.0,600,5
Qwen3-4B,last,19,0.01,1.0,0.5535,0.075,85.2,2.79,3840.0,960.0,600,5
Qwen3-4B,last,29,0.01,1.0,0.552,0.0567,82.6,4.03,3840.0,960.0,600,5
Qwen3-4B,last,16,0.01,1.0,0.5475,0.0801,84.8,10.76,3840.0,960.0,600,5
Qwen3-4B,last,30,0.01,1.0,0.5432,0.0595,86.0,6.96,3840.0,960.0,600,5
Qwen3-4B,last,32,0.01,1.0,0.542,0.0434,91.8,7.14,3840.0,960.0,600,5
Qwen3-4B,last,24,0.01,1.0,0.5394,0.0742,73.2,7.68,3840.0,960.0,600,5
Qwen3-4B,last,25,0.01,1.0,0.5383,0.0722,77.4,5.24,3840.0,960.0,600,5
Qwen3-4B,last,12,0.01,1.0,0.5307,0.0824,86.6,8.38,3840.0,960.0,600,5
Qwen3-4B,last,33,0.01,1.0,0.5227,0.0418,87.2,7.86,3840.0,960.0,600,5
Qwen3-4B,last,5,0.01,1.0,0.5095,0.038,98.8,4.07,3840.0,960.0,600,5
Qwen3-4B,last,8,0.01,1.0,0.507,0.0732,96.6,5.24,3840.0,960.0,600,5
Qwen3-4B,last,34,0.01,1.0,0.5031,0.0464,88.8,9.85,3840.0,960.0,600,5
Qwen3-4B,last,35,0.01,1.0,0.4981,0.0561,86.8,8.61,3840.0,960.0,600,5
Qwen3-4B,last,6,0.01,1.0,0.4922,0.04,94.6,5.2,3840.0,960.0,600,5
Qwen3-4B,last,4,0.01,1.0,0.4812,0.0255,95.8,7.6,3840.0,960.0,600,5
Qwen3-4B,last,7,0.01,1.0,0.4807,0.0496,99.2,5.88,3840.0,960.0,600,5
Qwen3-4B,last,11,0.01,1.0,0.4747,0.0792,88.6,7.53,3840.0,960.0,600,5
Qwen3-4B,last,3,0.01,1.0,0.4716,0.0367,97.2,6.62,3840.0,960.0,600,5
Qwen3-4B,last,10,0.01,1.0,0.4529,0.099,91.2,9.77,3840.0,960.0,600,5
Qwen3-4B,last,2,0.01,1.0,0.4358,0.048,91.6,4.8,3840.0,960.0,600,5
