model,rep_type,layer,alpha,l1_ratio,rho_mean,rho_std,n_nonzero_mean,n_nonzero_std,n_train,n_test,n_groups,n_folds
Qwen3-4B,last,14,0.03,1.0,0.5219,0.0607,12.2,2.4,3840.0,960.0,600,5
Qwen3-4B,last,23,0.03,1.0,0.511,0.0498,12.8,1.17,3840.0,960.0,600,5
Qwen3-4B,last,15,0.03,1.0,0.5041,0.0918,13.4,3.07,3840.0,960.0,600,5
Qwen3-4B,last,22,0.03,1.0,0.5004,0.0536,12.4,1.2,3840.0,960.0,600,5
Qwen3-4B,last,13,0.03,1.0,0.4992,0.0638,15.0,2.1,3840.0,960.0,600,5
Qwen3-4B,last,26,0.03,1.0,0.4981,0.042,12.0,1.1,3840.0,960.0,600,5
Qwen3-4B,last,21,0.03,1.0,0.497,0.0778,13.4,1.36,3840.0,960.0,600,5
Qwen3-4B,last,17,0.03,1.0,0.4936,0.08,13.2,1.17,3840.0,960.0,600,5
Qwen3-4B,last,25,0.03,1.0,0.4928,0.05,11.8,0.75,3840.0,960.0,600,5
Qwen3-4B,last,28,0.03,1.0,0.4909,0.0392,11.8,1.47,3840.0,960.0,600,5
Qwen3-4B,last,20,0.03,1.0,0.4907,0.0698,13.0,1.26,3840.0,960.0,600,5
Qwen3-4B,last,29,0.03,1.0,0.4881,0.0327,10.2,2.48,3840.0,960.0,600,5
Qwen3-4B,last,31,0.03,1.0,0.4856,0.048,10.8,2.71,3840.0,960.0,600,5
Qwen3-4B,last,27,0.03,1.0,0.4853,0.0259,13.2,1.17,3840.0,960.0,600,5
Qwen3-4B,last,12,0.03,1.0,0.4846,0.0513,11.6,2.42,3840.0,960.0,600,5
Qwen3-4B,last,19,0.03,1.0,0.4806,0.0691,12.8,0.75,3840.0,960.0,600,5
Qwen3-4B,last,18,0.03,1.0,0.4785,0.074,14.2,0.75,3840.0,960.0,600,5
Qwen3-4B,last,30,0.03,1.0,0.4771,0.0446,12.0,1.26,3840.0,960.0,600,5
Qwen3-4B,last,16,0.03,1.0,0.4749,0.0958,15.6,1.96,3840.0,960.0,600,5
Qwen3-4B,last,24,0.03,1.0,0.4695,0.0276,11.0,0.89,3840.0,960.0,600,5
Qwen3-4B,last,32,0.03,1.0,0.4638,0.0574,9.6,1.2,3840.0,960.0,600,5
Qwen3-4B,last,33,0.03,1.0,0.4595,0.0543,7.6,1.36,3840.0,960.0,600,5
Qwen3-4B,last,34,0.03,1.0,0.4415,0.0455,13.4,1.62,3840.0,960.0,600,5
Qwen3-4B,last,11,0.03,1.0,0.4393,0.0703,12.6,2.58,3840.0,960.0,600,5
Qwen3-4B,last,6,0.03,1.0,0.4275,0.0475,9.2,0.75,3840.0,960.0,600,5
Qwen3-4B,last,4,0.03,1.0,0.4241,0.0813,5.8,1.17,3840.0,960.0,600,5
Qwen3-4B,last,35,0.03,1.0,0.4143,0.0438,9.8,1.6,3840.0,960.0,600,5
Qwen3-4B,last,9,0.03,1.0,0.4094,0.0525,8.4,2.06,3840.0,960.0,600,5
Qwen3-4B,last,10,0.03,1.0,0.4089,0.0538,9.6,1.74,3840.0,960.0,600,5
Qwen3-4B,last,5,0.03,1.0,0.4044,0.0742,7.4,2.24,3840.0,960.0,600,5
Qwen3-4B,last,2,0.03,1.0,0.4043,0.0941,5.0,0.63,3840.0,960.0,600,5
Qwen3-4B,last,8,0.03,1.0,0.4033,0.0646,9.8,0.75,3840.0,960.0,600,5
Qwen3-4B,last,7,0.03,1.0,0.401,0.0589,9.4,1.02,3840.0,960.0,600,5
Qwen3-4B,last,3,0.03,1.0,0.394,0.0754,5.2,0.4,3840.0,960.0,600,5
Qwen3-4B,last,0,0.03,1.0,0.3672,0.0655,2.6,0.49,3840.0,960.0,600,5
Qwen3-4B,last,1,0.03,1.0,0.3576,0.0595,4.6,1.36,3840.0,960.0,600,5
Qwen3-4B,mean,23,0.03,1.0,0.522,0.0504,12.8,1.17,3840.0,960.0,600,5
Qwen3-4B,mean,22,0.03,1.0,0.5216,0.0633,11.8,1.94,3840.0,960.0,600,5
Qwen3-4B,mean,26,0.03,1.0,0.505,0.0419,8.8,1.33,3840.0,960.0,600,5
Qwen3-4B,mean,24,0.03,1.0,0.5019,0.0616,10.4,1.62,3840.0,960.0,600,5
Qwen3-4B,mean,19,0.03,1.0,0.501,0.0491,11.8,2.56,3840.0,960.0,600,5
Qwen3-4B,mean,33,0.03,1.0,0.4992,0.0383,7.2,1.17,3840.0,960.0,600,5
Qwen3-4B,mean,21,0.03,1.0,0.4983,0.044,11.0,2.45,3840.0,960.0,600,5
Qwen3-4B,mean,20,0.03,1.0,0.4972,0.0499,9.8,2.79,3840.0,960.0,600,5
Qwen3-4B,mean,27,0.03,1.0,0.493,0.0367,7.4,1.2,3840.0,960.0,600,5
Qwen3-4B,mean,28,0.03,1.0,0.4902,0.0348,10.0,2.1,3840.0,960.0,600,5
Qwen3-4B,mean,25,0.03,1.0,0.4899,0.0628,10.0,0.63,3840.0,960.0,600,5
Qwen3-4B,mean,18,0.03,1.0,0.4893,0.0727,11.0,2.45,3840.0,960.0,600,5
Qwen3-4B,mean,29,0.03,1.0,0.4885,0.0331,10.4,1.36,3840.0,960.0,600,5
Qwen3-4B,mean,32,0.03,1.0,0.4841,0.0371,9.8,1.47,3840.0,960.0,600,5
Qwen3-4B,mean,30,0.03,1.0,0.4791,0.041,10.4,1.02,3840.0,960.0,600,5
Qwen3-4B,mean,31,0.03,1.0,0.4719,0.036,9.8,1.17,3840.0,960.0,600,5
Qwen3-4B,mean,17,0.03,1.0,0.4698,0.1045,10.4,3.32,3840.0,960.0,600,5
Qwen3-4B,mean,16,0.03,1.0,0.469,0.0974,10.0,3.03,3840.0,960.0,600,5
Qwen3-4B,mean,15,0.03,1.0,0.4586,0.12,9.2,2.23,3840.0,960.0,600,5
Qwen3-4B,mean,13,0.03,1.0,0.4496,0.1034,11.6,2.24,3840.0,960.0,600,5
Qwen3-4B,mean,14,0.03,1.0,0.4383,0.1056,11.0,2.1,3840.0,960.0,600,5
Qwen3-4B,mean,35,0.03,1.0,0.4353,0.0644,7.4,1.2,3840.0,960.0,600,5
Qwen3-4B,mean,11,0.03,1.0,0.4253,0.0928,11.2,2.71,3840.0,960.0,600,5
Qwen3-4B,mean,12,0.03,1.0,0.4196,0.0893,10.6,2.24,3840.0,960.0,600,5
Qwen3-4B,mean,34,0.03,1.0,0.4082,0.0462,10.4,1.62,3840.0,960.0,600,5
Qwen3-4B,mean,7,0.03,1.0,0.408,0.06,12.2,3.19,3840.0,960.0,600,5
Qwen3-4B,mean,5,0.03,1.0,0.405,0.0447,11.4,2.73,3840.0,960.0,600,5
Qwen3-4B,mean,2,0.03,1.0,0.3985,0.0818,10.0,1.26,3840.0,960.0,600,5
Qwen3-4B,mean,0,0.03,1.0,0.3974,0.0756,8.8,0.75,3840.0,960.0,600,5
Qwen3-4B,mean,10,0.03,1.0,0.3974,0.0577,10.6,1.36,3840.0,960.0,600,5
Qwen3-4B,mean,6,0.03,1.0,0.3973,0.0322,13.0,2.45,3840.0,960.0,600,5
Qwen3-4B,mean,3,0.03,1.0,0.3889,0.0466,13.4,3.77,3840.0,960.0,600,5
Qwen3-4B,mean,9,0.03,1.0,0.3879,0.0733,10.2,1.94,3840.0,960.0,600,5
Qwen3-4B,mean,8,0.03,1.0,0.3869,0.0631,11.8,2.14,3840.0,960.0,600,5
Qwen3-4B,mean,1,0.03,1.0,0.3845,0.0583,10.2,1.94,3840.0,960.0,600,5
Qwen3-4B,mean,4,0.03,1.0,0.3825,0.0484,10.0,1.67,3840.0,960.0,600,5
